op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,423,100352.0,0.0016202026,7.268337e-06,0.01771009,2.6279183e-06,0.0050852317,-128,onnx_tf_prefix_Relu_43;Add_20;convolution_22;convolution_19;Const_68
CONV_2D,427,401408.0,0.0041289376,6.8228824e-06,0.019521741,1.704878e-05,0.013765756,-4,Add_21;convolution_51;convolution_20;Const_66
ADD,431,401408.0,0.002151615,0.0008634702,0.0070350766,5.3923295e-06,0.014071407,-128,onnx_tf_prefix_Relu_46;onnx_tf_prefix_Add_45
CONV_2D,435,100352.0,0.0016541698,7.956773e-06,0.012948609,2.7391266e-06,0.0071083484,-128,onnx_tf_prefix_Relu_48;Add_22;convolution_22;convolution_21;Const_64
TRANSPOSE,439,100352.0,0.0,0.0,0.0,0.0,0.0071083484,-128,transpose_67
PAD,443,115200.0,0.0,0.0,0.0,0.0,0.0071083484,-128,Pad_7
TRANSPOSE,447,115200.0,0.0,0.0,0.0,0.0,0.0071083484,-128,transpose_69
CONV_2D,451,100352.0,0.0022372045,-5.18151e-05,0.013843634,5.008875e-06,0.01149393,-128,onnx_tf_prefix_Relu_50;Add_23;convolution_22;Const_62
CONV_2D,455,401408.0,0.004478922,-2.2844015e-05,0.01844009,2.0061538e-05,0.015132682,16,Add_24;convolution_51;convolution_23;Const_60
ADD,459,401408.0,0.0027546368,-0.0001511889,0.0065963375,7.6111505e-06,0.01319829,-128,onnx_tf_prefix_Relu_53;onnx_tf_prefix_Add_52
CONV_2D,463,200704.0,0.0025239447,-2.3501938e-05,0.02563584,6.3799016e-06,0.014096815,-128,onnx_tf_prefix_Relu_55;Add_25;convolution_41;convolution_24;Const_58
TRANSPOSE,467,200704.0,0.0,0.0,0.0,0.0,0.014096815,-128,transpose_76
PAD,471,230400.0,0.0,0.0,0.0,0.0,0.014096815,-128,Pad_8
TRANSPOSE,475,230400.0,0.0,0.0,0.0,0.0,0.014096815,-128,transpose_78
CONV_2D,479,50176.0,0.0018681684,2.3490475e-05,0.015165567,3.4935483e-06,0.0070034107,-128,onnx_tf_prefix_Relu_57;Add_26;convolution_41;convolution_25;Const_56
CONV_2D,483,200704.0,0.004668873,2.5168529e-05,0.025586195,2.1800945e-05,0.015491205,-16,Add_27;convolution_42;convolution_26;Const_54
CONV_2D,487,200704.0,0.0040025213,4.999371e-05,0.022060968,1.6024906e-05,0.013341091,-1,Add_28;convolution_42;convolution_27;Const_52
