,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
58,TRANSPOSE,331,50176.0,0.0,0.0,0.0,0.0,0.010216298,-128,transpose_43,2.60515599,0.0
59,PAD,335,65536.0,0.0,0.0,0.0,0.0,0.010216298,-128,Pad_12,2.60515599,0.0
60,TRANSPOSE,339,65536.0,0.0,0.0,0.0,0.0,0.010216298,-128,transpose_45,2.60515599,0.0
7,TRANSPOSE,127,193600.0,0.0,0.0,0.0,0.0,0.018707344,-128,transpose_4,4.77037272,0.0
84,RESHAPE,439,512.0,0.0,0.0,0.0,0.0,0.036787488,-128,Reshape,9.38080944,0.0
3,TRANSPOSE,111,802816.0,0.0,0.0,0.0,0.0,0.018707344,-128,transpose_2,4.77037272,0.0
63,TRANSPOSE,351,50176.0,0.0,0.0,0.0,0.0,0.016525367,-128,transpose_46,4.213968585,0.0
64,PAD,355,65536.0,0.0,0.0,0.0,0.0,0.016525367,-128,Pad_13,4.213968585,0.0
65,TRANSPOSE,359,65536.0,0.0,0.0,0.0,0.0,0.016525367,-128,transpose_48,4.213968585,0.0
78,PAD,411,41472.0,0.0,0.0,0.0,0.0,0.0089512,-128,Pad_16,2.282556,0.0
68,PAD,371,41472.0,0.0,0.0,0.0,0.0,0.013072731,-128,Pad_14,3.3335464050000003,0.0
69,TRANSPOSE,375,41472.0,0.0,0.0,0.0,0.0,0.013072731,-128,transpose_51,3.3335464050000003,0.0
6,MAX_POOL_2D,123,193600.0,0.0,0.0,0.0,0.0,0.018707344,-128,MaxPool2d,4.77037272,0.0
82,TRANSPOSE,427,25088.0,0.0,0.0,0.0,0.0,0.104386546,-128,transpose_61,26.61856923,0.0
5,TRANSPOSE,119,802816.0,0.0,0.0,0.0,0.0,0.018707344,-128,transpose_3,4.77037272,0.0
56,TRANSPOSE,323,65536.0,0.0,0.0,0.0,0.0,0.013036331,-128,transpose_42,3.324264405,0.0
73,TRANSPOSE,391,25088.0,0.0,0.0,0.0,0.0,0.018214578,-128,transpose_55,4.644717389999999,0.0
4,PADV2,115,802816.0,0.0,0.0,0.0,0.0,0.018707344,-128,PadV2,4.77037272,0.0
74,PAD,395,41472.0,0.0,0.0,0.0,0.0,0.018214578,-128,Pad_15,4.644717389999999,0.0
75,TRANSPOSE,399,41472.0,0.0,0.0,0.0,0.0,0.018214578,-128,transpose_57,4.644717389999999,0.0
79,TRANSPOSE,415,41472.0,0.0,0.0,0.0,0.0,0.0089512,-128,transpose_60,2.282556,0.0
67,TRANSPOSE,367,25088.0,0.0,0.0,0.0,0.0,0.013072731,-128,transpose_49,3.3335464050000003,0.0
18,TRANSPOSE,171,207936.0,0.0,0.0,0.0,0.0,0.022134067,-128,transpose_12,5.644187085,0.0
55,PAD,319,65536.0,0.0,0.0,0.0,0.0,0.013036331,-128,Pad_11,3.324264405,0.0
36,PAD,243,115200.0,0.0,0.0,0.0,0.0,0.016175974,-128,Pad_7,4.1248733699999995,0.0
20,TRANSPOSE,179,193600.0,0.0,0.0,0.0,0.0,0.011385834,-128,transpose_13,2.90338767,0.0
21,PAD,183,207936.0,0.0,0.0,0.0,0.0,0.011385834,-128,Pad_4,2.90338767,0.0
22,TRANSPOSE,187,207936.0,0.0,0.0,0.0,0.0,0.011385834,-128,transpose_15,2.90338767,0.0
16,TRANSPOSE,163,193600.0,0.0,0.0,0.0,0.0,0.022134067,-128,transpose_10,5.644187085,0.0
25,TRANSPOSE,199,193600.0,0.0,0.0,0.0,0.0,0.026151227,-128,transpose_16,6.668562885,0.0
26,PAD,203,207936.0,0.0,0.0,0.0,0.0,0.026151227,-128,Pad_5,6.668562885,0.0
27,TRANSPOSE,207,207936.0,0.0,0.0,0.0,0.0,0.026151227,-128,transpose_18,6.668562885,0.0
29,TRANSPOSE,215,100352.0,0.0,0.0,0.0,0.0,0.009497368,-128,transpose_19,2.4218288400000003,0.0
30,PAD,219,115200.0,0.0,0.0,0.0,0.0,0.009497368,-128,Pad_6,2.4218288400000003,0.0
31,TRANSPOSE,223,115200.0,0.0,0.0,0.0,0.0,0.009497368,-128,transpose_21,2.4218288400000003,0.0
13,TRANSPOSE,151,207936.0,0.0,0.0,0.0,0.0,0.013022369,-128,transpose_9,3.320704095,0.0
12,PAD,147,207936.0,0.0,0.0,0.0,0.0,0.013022369,-128,Pad_2,3.320704095,0.0
35,TRANSPOSE,239,100352.0,0.0,0.0,0.0,0.0,0.016175974,-128,transpose_25,4.1248733699999995,0.0
37,TRANSPOSE,247,115200.0,0.0,0.0,0.0,0.0,0.016175974,-128,transpose_27,4.1248733699999995,0.0
54,TRANSPOSE,315,50176.0,0.0,0.0,0.0,0.0,0.013036331,-128,transpose_40,3.324264405,0.0
39,TRANSPOSE,255,100352.0,0.0,0.0,0.0,0.0,0.011382878,-128,transpose_28,2.90263389,0.0
40,PAD,259,115200.0,0.0,0.0,0.0,0.0,0.011382878,-128,Pad_8,2.90263389,0.0
41,TRANSPOSE,263,115200.0,0.0,0.0,0.0,0.0,0.011382878,-128,transpose_30,2.90263389,0.0
11,TRANSPOSE,143,193600.0,0.0,0.0,0.0,0.0,0.013022369,-128,transpose_7,3.320704095,0.0
1,TRANSPOSE,103,158700.0,0.0,0.0,0.0,0.0,0.018658448,-14,transpose_1,4.75790424,0.0
44,TRANSPOSE,275,100352.0,0.0,0.0,0.0,0.0,0.021372605,-128,transpose_31,5.450014275,0.0
45,PAD,279,115200.0,0.0,0.0,0.0,0.0,0.021372605,-128,Pad_9,5.450014275,0.0
46,TRANSPOSE,283,115200.0,0.0,0.0,0.0,0.0,0.021372605,-128,transpose_33,5.450014275,0.0
48,TRANSPOSE,291,50176.0,0.0,0.0,0.0,0.0,0.011091342,-128,transpose_34,2.8282922100000003,0.0
49,PAD,295,65536.0,0.0,0.0,0.0,0.0,0.011091342,-128,Pad_10,2.8282922100000003,0.0
50,TRANSPOSE,299,65536.0,0.0,0.0,0.0,0.0,0.011091342,-128,transpose_36,2.8282922100000003,0.0
9,TRANSPOSE,135,207936.0,0.0,0.0,0.0,0.0,0.018707344,-128,transpose_6,4.77037272,0.0
17,PAD,167,207936.0,0.0,0.0,0.0,0.0,0.022134067,-128,Pad_3,5.644187085,0.0
8,PAD,131,207936.0,0.0,0.0,0.0,0.0,0.018707344,-128,Pad_1,4.77037272,0.0
