op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,423,100352.0,0.0015522797,7.2812995e-06,0.015937323,2.4111932e-06,0.004934442,-128,onnx_tf_prefix_Relu_43;Add_20;convolution_22;convolution_19;Const_68
CONV_2D,427,401408.0,0.0038492507,1.101004e-05,0.01944953,1.481722e-05,0.012766724,8,Add_21;convolution_51;convolution_20;Const_66
ADD,431,401408.0,0.0022643066,-5.9806356e-05,0.005286558,5.130835e-06,0.010583209,-128,onnx_tf_prefix_Relu_46;onnx_tf_prefix_Add_45
CONV_2D,435,100352.0,0.0014245554,4.9060495e-06,0.011987338,2.0302307e-06,0.005781362,-128,onnx_tf_prefix_Relu_48;Add_22;convolution_22;convolution_21;Const_64
TRANSPOSE,439,100352.0,0.0,0.0,0.0,0.0,0.005781362,-128,transpose_67
PAD,443,115200.0,0.0,0.0,0.0,0.0,0.005781362,-128,Pad_7
TRANSPOSE,447,115200.0,0.0,0.0,0.0,0.0,0.005781362,-128,transpose_69
CONV_2D,451,100352.0,0.0015068549,-4.5981506e-05,0.012525353,2.273335e-06,0.00686165,-128,onnx_tf_prefix_Relu_50;Add_23;convolution_22;Const_62
CONV_2D,455,401408.0,0.00425046,-2.4331226e-05,0.017715959,1.8067209e-05,0.014312632,-8,Add_24;convolution_51;convolution_23;Const_60
ADD,459,401408.0,0.0025489286,-5.7489833e-05,0.006003656,6.5006166e-06,0.012007591,-128,onnx_tf_prefix_Relu_53;onnx_tf_prefix_Add_52
CONV_2D,463,200704.0,0.0022174479,-2.6425521e-05,0.026035832,4.9256564e-06,0.0116673475,-128,onnx_tf_prefix_Relu_55;Add_25;convolution_41;convolution_24;Const_58
TRANSPOSE,467,200704.0,0.0,0.0,0.0,0.0,0.0116673475,-128,transpose_76
PAD,471,230400.0,0.0,0.0,0.0,0.0,0.0116673475,-128,Pad_8
TRANSPOSE,475,230400.0,0.0,0.0,0.0,0.0,0.0116673475,-128,transpose_78
CONV_2D,479,50176.0,0.0016530487,1.6272477e-05,0.012498975,2.7362285e-06,0.0057395454,-128,onnx_tf_prefix_Relu_57;Add_26;convolution_41;convolution_25;Const_56
CONV_2D,483,200704.0,0.0043892357,2.4298457e-05,0.030345066,1.926764e-05,0.014418654,-14,Add_27;convolution_42;convolution_26;Const_54
