,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
51,CONV_2D,435,100352.0,0.0014245554,4.9060495e-06,0.011987338,2.0302307e-06,0.005781362,-128,onnx_tf_prefix_Relu_48;Add_22;convolution_22;convolution_21;Const_64,1.47424731,0.2464577797422176
77,CONV_2D,539,50176.0,0.001053967,-8.1301516e-07,0.00937862,1.1113872e-06,0.00427954,-128,onnx_tf_prefix_Relu_72;Add_33;convolution_41;convolution_32;Const_42,1.0912827,0.2463403790393453
73,CONV_2D,523,50176.0,0.0013193582,-1.4412633e-05,0.010929207,1.7433238e-06,0.005402481,-128,onnx_tf_prefix_Relu_70;Add_32;convolution_41;convolution_31;Const_44,1.377632655,0.24439694982236598
21,ADD,315,774400.0,0.00274429,0.000120437944,0.006247309,7.5489716e-06,0.011561171,-128,onnx_tf_prefix_Relu_17;onnx_tf_prefix_Add_16,2.948098605,0.23765232690472146
26,CONV_2D,335,193600.0,0.0018567711,-6.529968e-05,0.021600844,3.4550642e-06,0.007874003,-128,onnx_tf_prefix_Relu_21;Add_10;convolution_9;Const_88,2.007870765,0.2360654801647024
80,CONV_2D,551,50176.0,0.0012315363,9.394996e-07,0.012541399,1.5187071e-06,0.00537742,-128,onnx_tf_prefix_Relu_77;Add_35;convolution_41;convolution_34;Const_38,1.3712421,0.22917279082868616
22,CONV_2D,319,193600.0,0.0017785006,4.47656e-06,0.011987445,3.1645586e-06,0.0077730874,-128,onnx_tf_prefix_Relu_19;Add_9;convolution_9;convolution_8;Const_90,1.982137287,0.22885637794276312
84,CONV_2D,567,50176.0,0.001157289,-8.3694995e-06,0.011537745,1.3398685e-06,0.0050789258,-128,onnx_tf_prefix_Relu_79;Add_36;convolution_41;convolution_35;Const_36,1.295126079,0.22790781655768244
28,ADD,343,774400.0,0.0025231212,0.00070705055,0.006014618,6.8726863e-06,0.011702946,-128,onnx_tf_prefix_Relu_24;onnx_tf_prefix_Add_23,2.98425123,0.22401033705700926
15,CONV_2D,291,193600.0,0.0015939318,0.0001084113,0.01135917,2.5623106e-06,0.0071704993,-128,onnx_tf_prefix_Relu_12;Add_6;convolution_9;convolution_5;Const_96,1.8284773215,0.22323716001813604
70,CONV_2D,511,50176.0,0.0015844087,-1.6479324e-05,0.012026283,2.5120567e-06,0.0071008164,-128,onnx_tf_prefix_Relu_65;Add_30;convolution_41;convolution_29;Const_48,1.8107081820000002,0.22320629324089253
14,ADD,287,774400.0,0.0021977066,-3.944397e-05,0.004935958,4.834988e-06,0.009872619,-128,onnx_tf_prefix_Relu_10;onnx_tf_prefix_Add_9,2.517517845,0.22272313091849025
29,CONV_2D,347,387200.0,0.0021693578,-2.0502759e-05,0.020188846,4.7085255e-06,0.009748264,-128,onnx_tf_prefix_Relu_26;Add_12;convolution_22;convolution_11;Const_84,2.4858073199999997,0.2225948854033578
55,CONV_2D,451,100352.0,0.0015068549,-4.5981506e-05,0.012525353,2.273335e-06,0.00686165,-128,onnx_tf_prefix_Relu_50;Add_23;convolution_22;Const_62,1.74972075,0.21973698305074743
43,ADD,403,401408.0,0.0022052897,0.00021724697,0.005118901,4.9108235e-06,0.010238444,-128,onnx_tf_prefix_Relu_39;onnx_tf_prefix_Add_38,2.6108032199999998,0.21644282988694644
66,CONV_2D,495,50176.0,0.0021396184,-4.8898513e-05,0.013686281,4.581312e-06,0.00991449,-128,onnx_tf_prefix_Relu_63;Add_29;convolution_41;convolution_28;Const_50,2.52819495,0.21588603777136375
91,CONV_2D,595,50176.0,0.0012021764,3.007587e-05,0.013785008,1.4478487e-06,0.0056018312,-128,onnx_tf_prefix_Relu_86;Add_39;convolution_41;convolution_38;Const_30,1.428466956,0.2147986621945647
50,ADD,431,401408.0,0.0022643066,-5.9806356e-05,0.005286558,5.130835e-06,0.010583209,-128,onnx_tf_prefix_Relu_46;onnx_tf_prefix_Add_45,2.698718295,0.21403098567117704
57,ADD,459,401408.0,0.0025489286,-5.7489833e-05,0.006003656,6.5006166e-06,0.012007591,-128,onnx_tf_prefix_Relu_53;onnx_tf_prefix_Add_52,3.061935705,0.21233490374028122
