op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,399,150528.0,0.0016241386,8.242186e-06,0.0070242616,2.6386697e-06,0.0062235207,-128,clip_by_value_10;clip_by_value_10/Minimum;transpose_47;Add_15;depthwise_6;convolution_10;Const_74
TRANSPOSE,403,150528.0,0.0,0.0,0.0,0.0,0.0062235207,-128,clip_by_value_10;clip_by_value_10/Minimum;transpose_47
PAD,407,172800.0,0.0,0.0,0.0,0.0,0.0062235207,-128,Pad_6
TRANSPOSE,411,172800.0,0.0,0.0,0.0,0.0,0.0062235207,-128,transpose_49
DEPTHWISE_CONV_2D,415,150528.0,0.0019844067,-6.178236e-05,0.018700821,3.9512665e-06,0.00859102,-128,clip_by_value_11;clip_by_value_11/Minimum;transpose_50;Add_16;depthwise_6;depthwise_5;Const_72
TRANSPOSE,419,150528.0,0.0,0.0,0.0,0.0,0.00859102,-128,clip_by_value_11;clip_by_value_11/Minimum;transpose_50
TRANSPOSE,423,150528.0,0.0,0.0,0.0,0.0,0.00859102,-128,transpose_52
CONV_2D,427,25088.0,0.0072107525,-0.00043830945,0.025242887,5.2242973e-05,0.021791266,5,Add_17;convolution_11;Const_70
ADD,431,25088.0,0.012544036,-1.2960503e-05,0.029261611,0.00015735738,0.043390647,-6,onnx_tf_prefix_Add_32
CONV_2D,435,150528.0,0.0018696762,3.5585624e-06,0.014151615,3.4992145e-06,0.007428616,-128,clip_by_value_12;clip_by_value_12/Minimum;transpose_56;Add_18;depthwise_6;convolution_12;Const_68
TRANSPOSE,439,150528.0,0.0,0.0,0.0,0.0,0.007428616,-128,clip_by_value_12;clip_by_value_12/Minimum;transpose_56
PAD,443,172800.0,0.0,0.0,0.0,0.0,0.007428616,-128,Pad_7
TRANSPOSE,447,172800.0,0.0,0.0,0.0,0.0,0.007428616,-128,transpose_58
DEPTHWISE_CONV_2D,451,37632.0,0.0033821992,8.244375e-07,0.016341515,1.1441051e-05,0.012323886,-128,clip_by_value_13;clip_by_value_13/Minimum;transpose_59;Add_19;depthwise_6;Const_66
TRANSPOSE,455,37632.0,0.0,0.0,0.0,0.0,0.012323886,-128,clip_by_value_13;clip_by_value_13/Minimum;transpose_59
TRANSPOSE,459,37632.0,0.0,0.0,0.0,0.0,0.012323886,-128,transpose_61
CONV_2D,463,12544.0,0.008757347,-0.00032136767,0.031848576,7.6846416e-05,0.025413258,18,Add_20;convolution_19;convolution_13;Const_64
CONV_2D,467,75264.0,0.0011606152,5.3211443e-06,0.005481575,1.3474578e-06,0.0040776175,-128,clip_by_value_14;clip_by_value_14/Minimum;transpose_65;Add_21;depthwise_10;convolution_14;Const_62
TRANSPOSE,471,75264.0,0.0,0.0,0.0,0.0,0.0040776175,-128,clip_by_value_14;clip_by_value_14/Minimum;transpose_65
PAD,475,98304.0,0.0,0.0,0.0,0.0,0.0040776175,-128,Pad_8
TRANSPOSE,479,98304.0,0.0,0.0,0.0,0.0,0.0040776175,-128,transpose_67
DEPTHWISE_CONV_2D,483,75264.0,0.0018083128,8.52292e-08,0.017742831,3.2718424e-06,0.00679649,-128,clip_by_value_15;clip_by_value_15/Minimum;transpose_68;Add_22;depthwise_10;depthwise_7;Const_60
TRANSPOSE,487,75264.0,0.0,0.0,0.0,0.0,0.00679649,-128,clip_by_value_15;clip_by_value_15/Minimum;transpose_68
TRANSPOSE,491,75264.0,0.0,0.0,0.0,0.0,0.00679649,-128,transpose_70
CONV_2D,495,12544.0,0.0049222163,0.00017320934,0.018597228,2.4274894e-05,0.015041893,11,Add_23;convolution_19;convolution_15;Const_58
ADD,499,12544.0,0.007915016,-1.3833202e-05,0.01372579,6.2653315e-05,0.027456403,14,onnx_tf_prefix_Add_43
CONV_2D,503,75264.0,0.0009887036,1.022585e-05,0.0049509127,9.778618e-07,0.0036614425,-128,clip_by_value_16;clip_by_value_16/Minimum;transpose_74;Add_24;depthwise_10;convolution_16;Const_56
TRANSPOSE,507,75264.0,0.0,0.0,0.0,0.0,0.0036614425,-128,clip_by_value_16;clip_by_value_16/Minimum;transpose_74
PAD,511,98304.0,0.0,0.0,0.0,0.0,0.0036614425,-128,Pad_9
TRANSPOSE,515,98304.0,0.0,0.0,0.0,0.0,0.0036614425,-128,transpose_76
DEPTHWISE_CONV_2D,519,75264.0,0.0017147325,1.4755772e-05,0.024295747,2.9417768e-06,0.0069414787,-128,clip_by_value_17;clip_by_value_17/Minimum;transpose_77;Add_25;depthwise_10;depthwise_8;Const_54
TRANSPOSE,523,75264.0,0.0,0.0,0.0,0.0,0.0069414787,-128,clip_by_value_17;clip_by_value_17/Minimum;transpose_77
TRANSPOSE,527,75264.0,0.0,0.0,0.0,0.0,0.0069414787,-128,transpose_79
CONV_2D,531,12544.0,0.00505151,-0.0003105843,0.02210151,2.5620458e-05,0.015165377,8,Add_26;convolution_19;convolution_17;Const_52
ADD,535,12544.0,0.008367155,-1.4982917e-05,0.015742237,7.001884e-05,0.028967464,19,onnx_tf_prefix_Add_49
CONV_2D,539,75264.0,0.00094411016,3.4919635e-06,0.0048959856,8.9156e-07,0.003754563,-128,clip_by_value_18;clip_by_value_18/Minimum;transpose_83;Add_27;depthwise_10;convolution_18;Const_50
TRANSPOSE,543,75264.0,0.0,0.0,0.0,0.0,0.003754563,-128,clip_by_value_18;clip_by_value_18/Minimum;transpose_83
PAD,547,98304.0,0.0,0.0,0.0,0.0,0.003754563,-128,Pad_10
TRANSPOSE,551,98304.0,0.0,0.0,0.0,0.0,0.003754563,-128,transpose_85
DEPTHWISE_CONV_2D,555,75264.0,0.0042122873,4.6410473e-06,0.021080844,1.774567e-05,0.02082839,-128,clip_by_value_19;clip_by_value_19/Minimum;transpose_86;Add_28;depthwise_10;depthwise_9;Const_48
TRANSPOSE,559,75264.0,0.0,0.0,0.0,0.0,0.02082839,-128,clip_by_value_19;clip_by_value_19/Minimum;transpose_86
TRANSPOSE,563,75264.0,0.0,0.0,0.0,0.0,0.02082839,-128,transpose_88
CONV_2D,567,12544.0,0.009642007,-0.00013099851,0.027691687,9.300271e-05,0.031835355,30,Add_29;convolution_19;Const_46
ADD,571,12544.0,0.010140883,1.1928677e-05,0.017541194,0.00010284491,0.035100292,2,onnx_tf_prefix_Add_55
