,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
1718,FULLY_CONNECTED,8951,49152.0,0.19421096,-0.0002512977,1.3309561,0.03790514,0.43416056,2,onnx_tf_prefix_Mul_2351;onnx_tf_prefix_Add_2352;onnx_tf_prefix_MatMul_2365;onnx_tf_prefix_Add_23661,110.7109428,0.44843415554612454
930,FULLY_CONNECTED,5679,49152.0,0.1178633,0.0025933404,0.6582455,0.013910063,0.26330256,1,onnx_tf_prefix_MatMul_13401,67.1421528,0.44792929521953256
756,FULLY_CONNECTED,4955,49152.0,0.018791592,0.000584617,0.19054122,0.0003537363,0.04223182,-10,onnx_tf_prefix_MatMul_1100;onnx_tf_prefix_Add_1101,10.769114100000001,0.4453485231813423
1760,FULLY_CONNECTED,9125,49152.0,0.025262693,-0.0005099037,0.11549976,0.00065082416,0.057389848,-2,onnx_tf_prefix_MatMul_2448;onnx_tf_prefix_Add_2449,14.63441124,0.44452558151306887
9,FULLY_CONNECTED,1852,49152.0,0.04055255,-0.0010267887,0.26822892,0.0016466995,0.091293305,-3,onnx_tf_prefix_MatMul_972,23.279792775,0.4444963991607736
1690,FULLY_CONNECTED,8836,49152.0,0.030738732,-0.0006286549,0.14413865,0.0009496163,0.069674924,-1,onnx_tf_prefix_Add_2358;onnx_tf_prefix_Mul_2359;onnx_tf_prefix_Add_2360;onnx_tf_prefix_MatMul_2363;onnx_tf_prefix_Add_2364,17.76710562,0.442280280783441
1349,FULLY_CONNECTED,7420,49152.0,0.14223595,0.009063941,0.5584978,0.02039154,0.32305261,7,onnx_tf_prefix_Mul_1899;onnx_tf_prefix_Add_1900;onnx_tf_prefix_MatMul_1901;onnx_tf_prefix_Add_1902;onnx_tf_prefix_Mul_1903;onnx_tf_prefix_Add_1904,82.37841555,0.4420300135509462
1668,FULLY_CONNECTED,8740,49152.0,0.07747709,0.00020885568,0.8882213,0.0060662725,0.17645778,-1,onnx_tf_prefix_MatMul_2319;onnx_tf_prefix_Add_2320,44.9967339,0.4413876184970285
259,FULLY_CONNECTED,2891,49152.0,0.026940474,-0.00017697475,0.12121873,0.00072587415,0.061096173,-1,onnx_tf_prefix_Add_437;onnx_tf_prefix_Mul_438;onnx_tf_prefix_Add_439;onnx_tf_prefix_MatMul_440;onnx_tf_prefix_Add_441,15.579524115,0.4409777303663538
1942,FULLY_CONNECTED,9883,49152.0,0.03446357,-0.00014637725,0.2176404,0.0011931907,0.07836718,-1,onnx_tf_prefix_Add_2697;onnx_tf_prefix_Mul_2698;onnx_tf_prefix_Add_2699;onnx_tf_prefix_MatMul_2702;onnx_tf_prefix_Add_2703,19.983630899999998,0.4407788126216845
