op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONCATENATION,1818,147456.0,0.00047314144,6.040947e-08,0.0021717846,2.247345e-07,0.004344727,17,onnx_tf_prefix_Concat_84
FULLY_CONNECTED,1822,196608.0,0.0034860699,9.884655e-06,0.037451804,1.2216103e-05,0.019847287,15,onnx_tf_prefix_MatMul_852
ADD,1826,196608.0,0.011438534,-4.9635088e-05,0.027489608,0.00013084266,0.034462046,-46,onnx_tf_prefix_Add_89;Const_1326;onnx_tf_prefix_Add_86;Const_13251
ADD,1830,196608.0,0.010545336,0.00018027094,0.02164615,0.00011123675,0.0347576,-46,onnx_tf_prefix_Add_90
ADD,1836,196608.0,0.022977931,-0.00078424666,0.059024423,0.0005286014,0.05801687,-33,onnx_tf_prefix_Add_92
FULLY_CONNECTED,1840,49152.0,0.049178842,0.0005496664,0.28185955,0.00241932,0.10949046,1,onnx_tf_prefix_Mul_91;onnx_tf_prefix_Add_92;onnx_tf_prefix_MatMul_105;onnx_tf_prefix_Add_1061
RESHAPE,1844,49152.0,8.114612e-08,1.6909528e-09,9.536743e-07,6.5888575e-15,0.10949046,1,onnx_tf_prefix_Reshape_1431
TRANSPOSE,1848,49152.0,8.114612e-08,1.6909528e-09,9.536743e-07,6.5888575e-15,0.10949046,1,onnx_tf_prefix_Transpose_144
FULLY_CONNECTED,1852,49152.0,0.084588975,-0.0053092283,0.5345318,0.007187471,0.17567907,-9,onnx_tf_prefix_Mul_91;onnx_tf_prefix_Add_92;onnx_tf_prefix_MatMul_93;onnx_tf_prefix_Add_94;onnx_tf_prefix_Mul_95;onnx_tf_prefix_Add_96
FULLY_CONNECTED,1856,49152.0,0.04055255,-0.0010267887,0.26822892,0.0016466995,0.091293305,-3,onnx_tf_prefix_MatMul_972
FULLY_CONNECTED,1860,49152.0,0.021852298,-0.0005047844,0.10228186,0.00047781097,0.04718138,-1,onnx_tf_prefix_Add_98;onnx_tf_prefix_Mul_99;onnx_tf_prefix_Add_100;onnx_tf_prefix_MatMul_101;onnx_tf_prefix_Add_102
RESHAPE,1864,49152.0,3.9490242e-08,-4.494192e-09,4.7683716e-07,1.579752e-15,0.04718138,-1,onnx_tf_prefix_Reshape_118
TRANSPOSE,1868,49152.0,3.9490235e-08,-4.494192e-09,4.7683716e-07,1.579752e-15,0.04718138,-1,onnx_tf_prefix_Transpose_119
FULLY_CONNECTED,1872,49152.0,0.041837603,-0.0012703533,0.19562109,0.0017520521,0.11287858,-21,onnx_tf_prefix_Add_98;onnx_tf_prefix_Mul_99;onnx_tf_prefix_Add_100;onnx_tf_prefix_MatMul_103;onnx_tf_prefix_Add_104
RESHAPE,1876,49152.0,1.662835e-07,-1.2984958e-08,9.536743e-07,2.7819029e-14,0.11287858,-21,onnx_tf_prefix_Reshape_131
TRANSPOSE,1880,49152.0,1.662835e-07,-1.2984958e-08,9.536743e-07,2.7819029e-14,0.11287858,-21,onnx_tf_prefix_Transpose_145
RESHAPE,1884,49152.0,3.9490235e-08,-4.494192e-09,4.7683716e-07,1.579752e-15,0.04718138,-1,onnx_tf_prefix_MatMul_1465
SPLIT,1894,12288.0,3.0126476e-08,-4.3464756e-09,4.7683716e-07,9.265374e-16,0.04718138,-1,onnx_tf_prefix_MatMul_1466;onnx_tf_prefix_MatMul_1467;onnx_tf_prefix_MatMul_1468;onnx_tf_prefix_MatMul_1469
