,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
127,FULLY_CONNECTED,745,1000.0,0.062150158,0.0019546733,0.19980435,0.0039189355,0.117357284,-60,PartitionedCall:0,29.92610742,0.5334257883941365
8,CONV_2D,263,193600.0,0.0022649562,0.00012206586,0.019579494,5.172483e-06,0.005928004,-128,onnx_tf_prefix_Relu_4;Add_2;convolution_9;convolution_1;Const_104,1.51164102,0.3836551638145911
2,CONV_2D,239,802816.0,0.006105816,-0.00011873203,0.052611466,3.816343e-05,0.017256714,-128,onnx_tf_prefix_Relu_1;Add;convolution_9;convolution;Const_106,4.40046207,0.3579856341264947
121,CONV_2D,715,100352.0,0.018922878,0.0001262407,0.13573986,0.0003588183,0.05722868,-45,Add_53;convolution_52;Const_2,14.5933134,0.33099662328446255
48,CONV_2D,423,100352.0,0.0016202026,7.268337e-06,0.01771009,2.6279183e-06,0.0050852317,-128,onnx_tf_prefix_Relu_43;Add_20;convolution_22;convolution_19;Const_68,1.2967340834999999,0.3187830224854275
7,CONV_2D,259,774400.0,0.0077751726,0.0005079147,0.060941216,6.079102e-05,0.024638878,18,Add_5;convolution_41;convolution_4;Const_98,6.28291389,0.3164454008105944
114,CONV_2D,687,100352.0,0.00971903,1.556269e-05,0.05248988,9.448131e-05,0.030829923,-22,Add_50;convolution_52;convolution_49;Const_8,7.861630365,0.3152829700614366
41,CONV_2D,395,100352.0,0.0019168225,2.7235357e-05,0.016928492,3.6772872e-06,0.006168194,-128,onnx_tf_prefix_Relu_36;Add_17;convolution_22;convolution_16;Const_74,1.57288947,0.31088928243666464
106,CONV_2D,655,100352.0,0.011293889,2.6346057e-05,0.083506525,0.0001275745,0.036565796,-18,Add_46;convolution_52;convolution_45;Const_16,9.32427798,0.3088921741051445
78,CONV_2D,543,200704.0,0.0031397156,8.875045e-06,0.014259282,9.858155e-06,0.010384001,-5,Add_34;convolution_42;convolution_33;Const_40,2.6479202550000003,0.302366101084487
107,CONV_2D,659,100352.0,0.013171926,3.359205e-05,0.12380925,0.0001735139,0.04360323,-17,Add_47;convolution_52;convolution_46;Const_14,11.11882365,0.30209843395859626
